name,team,photo_url
Charles Bassey,Philadelphia 76ers,https://www.nbcsportsedge.com/edge/sites/default/files/players/2021-07/Charles%20Bassey%20headshot.jpg
Aaron Gordon,Denver Nuggets,https://www.nbcsportsedge.com/edge/sites/default/files/players/54/2313.jpg
Darren Collison,Indiana Pacers,https://www.nbcsportsedge.com/edge/sites/default/files/players/46/1634.jpg
Rajon Rondo,Memphis Grizzlies,https://www.nbcsportsedge.com/edge/sites/default/files/players/2021-01/Rajon_Rondo.jpg
Thaddeus Young,San Antonio Spurs,https://www.nbcsportsedge.com/edge/sites/default/files/players/2021-02/Thaddeus_Young.jpg
Paul Millsap,"",https://www.nbcsportsedge.com/edge/sites/default/files/players/2021-01/Paul_Millsap.jpg
DeAndre Jordan,Brooklyn Nets,https://www.nbcsportsedge.com/edge/sites/default/files/players/2021-01/DeAndre_Jordan.jpg
Ben Simmons,Philadelphia 76ers,https://www.nbcsportsedge.com/edge/sites/default/files/players/2021-02/Ben_Simmons.jpg
Bradley Beal,Washington Wizards,https://www.nbcsportsedge.com/edge/sites/default/files/players/62/1966.jpg
Thomas Bryant,Washington Wizards,https://www.nbcsportsedge.com/edge/sites/default/files/players/62/2825_0.jpg
